temp,humidty,ecg
35.3,38.9,0.24500000000000025
35.3,38.9,0.24500000000000025
36.6,19.5,0.22058838544660245
35.3,38.9,0.24500000000000025
36.6,19.5,0.22058838544660245
35.1,14.3,0.2146691254050591
35.3,38.9,0.24500000000000025
36.6,19.5,0.22058838544660245
35.1,14.3,0.2146691254050591
35.5,31.8,0.21490676689175575
35.3,38.9,0.24500000000000025
36.6,19.5,0.22058838544660245
35.1,14.3,0.2146691254050591
35.5,31.8,0.21490676689175575
37.7,33.8,0.20975052867558272
35.3,38.9,0.24500000000000025
36.6,19.5,0.22058838544660245
35.1,14.3,0.2146691254050591
35.5,31.8,0.21490676689175575
37.7,33.8,0.20975052867558272
37.9,36.3,0.19662821680539025
35.3,38.9,0.24500000000000025
36.6,19.5,0.22058838544660245
35.1,14.3,0.2146691254050591
35.5,31.8,0.21490676689175575
37.7,33.8,0.20975052867558272
37.9,36.3,0.19662821680539025
37.1,46.7,0.1817379240550794
35.3,38.9,0.24500000000000025
36.6,19.5,0.22058838544660245
35.1,14.3,0.2146691254050591
35.5,31.8,0.21490676689175575
37.7,33.8,0.20975052867558272
37.9,36.3,0.19662821680539025
37.1,46.7,0.1817379240550794
37.1,81.8,0.17294963394325955
35.3,38.9,0.24500000000000025
36.6,19.5,0.22058838544660245
35.1,14.3,0.2146691254050591
35.5,31.8,0.21490676689175575
37.7,33.8,0.20975052867558272
37.9,36.3,0.19662821680539025
37.1,46.7,0.1817379240550794
37.1,81.8,0.17294963394325955
35.1,20.2,0.1726408604609165
35.3,38.9,0.24500000000000025
36.6,19.5,0.22058838544660245
35.1,14.3,0.2146691254050591
35.5,31.8,0.21490676689175575
37.7,33.8,0.20975052867558272
37.9,36.3,0.19662821680539025
37.1,46.7,0.1817379240550794
37.1,81.8,0.17294963394325955
35.1,20.2,0.1726408604609165
36.3,27.4,0.17635688615741268
35.4,5.7,0.24500000000000025
35.4,5.7,0.24500000000000025
37.7,93.8,0.22058838544660245
35.4,5.7,0.24500000000000025
37.7,93.8,0.22058838544660245
36.9,53.7,0.2146691254050591
35.4,5.7,0.24500000000000025
37.7,93.8,0.22058838544660245
36.9,53.7,0.2146691254050591
37.5,4.0,0.21490676689175575
35.4,5.7,0.24500000000000025
37.7,93.8,0.22058838544660245
36.9,53.7,0.2146691254050591
37.5,4.0,0.21490676689175575
37.3,50.0,0.20975052867558272
35.4,5.7,0.24500000000000025
37.7,93.8,0.22058838544660245
36.9,53.7,0.2146691254050591
37.5,4.0,0.21490676689175575
37.3,50.0,0.20975052867558272
35.1,87.9,0.19662821680539025
35.4,5.7,0.24500000000000025
37.7,93.8,0.22058838544660245
36.9,53.7,0.2146691254050591
37.5,4.0,0.21490676689175575
37.3,50.0,0.20975052867558272
35.1,87.9,0.19662821680539025
35.0,22.4,0.1817379240550794
35.4,5.7,0.24500000000000025
37.7,93.8,0.22058838544660245
36.9,53.7,0.2146691254050591
37.5,4.0,0.21490676689175575
37.3,50.0,0.20975052867558272
35.1,87.9,0.19662821680539025
35.0,22.4,0.1817379240550794
37.4,81.6,0.17294963394325955
35.4,5.7,0.24500000000000025
37.7,93.8,0.22058838544660245
36.9,53.7,0.2146691254050591
37.5,4.0,0.21490676689175575
37.3,50.0,0.20975052867558272
35.1,87.9,0.19662821680539025
35.0,22.4,0.1817379240550794
37.4,81.6,0.17294963394325955
35.3,66.7,0.1726408604609165
35.4,5.7,0.24500000000000025
37.7,93.8,0.22058838544660245
36.9,53.7,0.2146691254050591
37.5,4.0,0.21490676689175575
37.3,50.0,0.20975052867558272
35.1,87.9,0.19662821680539025
35.0,22.4,0.1817379240550794
37.4,81.6,0.17294963394325955
35.3,66.7,0.1726408604609165
35.5,77.1,0.17635688615741268
